song,amplitud,delay,window,odg,error
1,10,100,1000,-3.91213,51.508625
1,10,100,5000,-3.91313,69.827583
1,10,100,10000,-3.91304,60.606064
1,10,100,15000,-3.91285,50.625004
1,10,1000,1000,-3.91218,39.430149
1,10,1000,5000,-3.91313,42.672413
1,10,1000,10000,-3.91305,42.424244
1,10,1000,15000,-3.91287,45.625
1,10,2300,1000,-3.91217,75.431038
1,10,2300,5000,-3.91313,51.293106
1,10,2300,10000,-3.91305,53.0303
1,10,2300,15000,-3.91287,53.125
1,10,5000,1000,-3.91221,38.541664
1,10,5000,5000,-3.91313,36.853447
1,10,5000,10000,-3.91303,47.348484
1,10,5000,15000,-3.91285,39.375
1,20,100,1000,-3.91228,44.5
1,20,100,5000,-3.91314,75.862068
1,20,100,10000,-3.91305,63.636364
1,20,100,15000,-3.91291,55.624996
1,20,1000,1000,-3.91237,31.885593
1,20,1000,5000,-3.91314,34.267242
1,20,1000,10000,-3.91305,40.530304
1,20,1000,15000,-3.91293,41.875
1,20,2300,1000,-3.91238,70.991379
1,20,2300,5000,-3.91314,46.767242
1,20,2300,10000,-3.91308,52.272724
1,20,2300,15000,-3.91295,49.375
1,20,5000,1000,-3.91242,30.208334
1,20,5000,5000,-3.91314,30.172413
1,20,5000,10000,-3.91307,38.793106
1,20,5000,15000,-3.91293,42.5
1,30,100,1000,-3.91245,46.226414
1,30,100,5000,-3.91314,79.094826
1,30,100,10000,-3.91301,69.318184
1,30,100,15000,-3.91288,58.749996
1,30,1000,1000,-3.91257,25.741526
1,30,1000,5000,-3.91315,25.431034
1,30,1000,10000,-3.91297,33.71212
1,30,1000,15000,-3.91287,30.625
1,30,2300,1000,-3.91258,67.586205
1,30,2300,5000,-3.91315,45.043106
1,30,2300,10000,-3.91306,50.757576
1,30,2300,15000,-3.91297,49.375
1,30,5000,1000,-3.91261,29.481131
1,30,5000,5000,-3.91315,26.508621
1,30,5000,10000,-3.91309,36.742424
1,30,5000,15000,-3.91299,34.375
1,40,100,1000,-3.91261,72.153517
1,40,100,5000,-3.91314,78.879311
1,40,100,10000,-3.91291,71.969696
1,40,100,15000,-3.91274,62.5
1,40,1000,1000,-3.91274,21.6
1,40,1000,5000,-3.91315,18.965517
1,40,1000,10000,-3.91283,29.924244
1,40,1000,15000,-3.91269,25.625
1,40,2300,1000,-3.91276,64.482758
1,40,2300,5000,-3.91316,42.241379
1,40,2300,10000,-3.91304,48.706894
1,40,2300,15000,-3.91295,48.75
1,40,5000,1000,-3.91276,28.598484
1,40,5000,5000,-3.91315,17.1875
1,40,5000,10000,-3.9131,32.954548
1,40,5000,15000,-3.91302,37.5
1,50,100,1000,-3.91273,47.1875
1,50,100,5000,-3.91314,77.155174
1,50,100,10000,-3.91276,71.969696
1,50,100,15000,-3.91245,64.375
1,50,1000,1000,-3.91286,19.907408
1,50,1000,5000,-3.91315,15.517241
1,50,1000,10000,-3.91264,26.51515
1,50,1000,15000,-3.91236,28.125
1,50,2300,1000,-3.91289,61.120689
1,50,2300,5000,-3.91316,40.301723
1,50,2300,10000,-3.91302,47.727272
1,50,2300,15000,-3.91292,46.875
1,50,5000,1000,-3.91287,24.431818
1,50,5000,5000,-3.91315,21.336206
1,50,5000,10000,-3.9131,30.303032
1,50,5000,15000,-3.91304,48.4375
2,10,100,1000,-3.85372,51.35783
2,10,100,5000,-3.87208,43.548386
2,10,100,10000,-3.8863,47.348484
2,10,100,15000,-3.88586,48.214287
2,10,1000,1000,-3.85417,45.708954
2,10,1000,5000,-3.8776,46.42857
2,10,1000,10000,-3.88722,45.075756
2,10,1000,15000,-3.88485,36.904762
2,10,2300,1000,-3.85123,75.399361
2,10,2300,5000,-3.86925,50.576927
2,10,2300,10000,-3.88504,52.272724
2,10,2300,15000,-3.88422,45.833336
2,10,5000,1000,-3.85147,43.634258
2,10,5000,5000,-3.85372,45.384617
2,10,5000,10000,-3.87086,41.666664
2,10,5000,15000,-3.87261,30.952381
2,20,100,1000,-3.87288,53.501774
2,20,100,5000,-3.89456,41.330643
2,20,100,10000,-3.8721,40.909092
2,20,100,15000,-3.85787,29.761904
2,20,1000,1000,-3.87142,39.908257
2,20,1000,5000,-3.87296,41.935482
2,20,1000,10000,-3.88844,29.924244
2,20,1000,15000,-3.80389,21.428572
2,20,2300,1000,-3.8676,73.043129
2,20,2300,5000,-3.89263,48.46154
2,20,2300,10000,-3.87843,46.590908
2,20,2300,15000,-3.8697,38.095238
2,20,5000,1000,-3.86358,36.890244
2,20,5000,5000,-3.88077,39.23077
2,20,5000,10000,-3.88729,32.196968
2,20,5000,15000,-3.88698,13.095239
2,30,100,1000,-3.8792,55.115658
2,30,100,5000,-3.88489,39.919357
2,30,100,10000,-3.7897,34.848484
2,30,100,15000,-3.73837,24.40476
2,30,1000,1000,-3.87445,36.5
2,30,1000,5000,-3.89165,37.5
2,30,1000,10000,-3.89058,24.242424
2,30,1000,15000,-3.88741,14.285715
2,30,2300,1000,-3.87229,71.046326
2,30,2300,5000,-3.88323,45.76923
2,30,2300,10000,-3.8214,43.18182
2,30,2300,15000,-3.78696,28.333334
2,30,5000,1000,-3.86838,40.447155
2,30,5000,5000,-3.87131,34.03846
2,30,5000,10000,-3.87966,23.863636
2,30,5000,15000,-3.88027,11.904762
2,40,100,1000,-3.87581,54.486061
2,40,100,5000,-3.84307,40.927418
2,40,100,10000,-3.59565,29.924244
2,40,100,15000,-3.43617,19.047619
2,40,1000,1000,-3.88267,36.009174
2,40,1000,5000,-3.60944,30.645163
2,40,1000,10000,-2.8836,21.59091
2,40,1000,15000,-3.86768,10.119048
2,40,2300,1000,-3.8557,68.490417
2,40,2300,5000,-3.83581,42.884617
2,40,2300,10000,-3.64732,37.878788
2,40,2300,15000,-3.54018,26.666668
2,40,5000,1000,-3.8756,37.234039
2,40,5000,5000,-3.88347,30.000002
2,40,5000,10000,-3.88775,20.833332
2,40,5000,15000,-3.88802,8.333334
2,50,100,1000,-3.88688,56.5625
2,50,100,5000,-3.84512,39.314518
2,50,100,10000,-3.61222,28.40909
2,50,100,15000,-3.48817,20.238096
2,50,1000,1000,-3.66949,32.440479
2,50,1000,5000,-3.10586,28.42742
2,50,1000,10000,-2.46183,17.80303
2,50,1000,15000,-2.37863,10.119048
2,50,2300,1000,-3.817,67.212463
2,50,2300,5000,-3.73504,44.615383
2,50,2300,10000,-3.37216,34.090908
2,50,2300,15000,-3.18822,20
2,50,5000,1000,-3.88329,35.245903
2,50,5000,5000,-3.89186,28.46154
2,50,5000,10000,-3.89304,20.075758
2,50,5000,15000,-3.86374,7.738095
3,10,100,1000,-3.88703,55.28701
3,10,100,5000,-3.86341,62.126862
3,10,100,10000,-3.88225,61.029411
3,10,100,15000,-3.88795,57.608692
3,10,1000,1000,-3.88655,39.322914
3,10,1000,5000,-3.86396,36.170212
3,10,1000,10000,-3.88311,38.970589
3,10,1000,15000,-3.88889,40.217392
3,10,2300,1000,-3.88636,77.416924
3,10,2300,5000,-3.8635,50.5597
3,10,2300,10000,-3.88239,46.323528
3,10,2300,15000,-3.88795,51.630436
3,10,5000,1000,-3.8861,41.003185
3,10,5000,5000,-3.85934,37.5
3,10,5000,10000,-3.87753,42.279411
3,10,5000,15000,-3.88331,31.818182
3,20,100,1000,-3.89164,46.607143
3,20,100,5000,-3.89321,61.9403
3,20,100,10000,-3.90362,62.867649
3,20,100,15000,-3.90331,58.695648
3,20,1000,1000,-3.891,28.151262
3,20,1000,5000,-3.89618,26.119402
3,20,1000,10000,-3.90483,30.514706
3,20,1000,15000,-3.90336,33.695652
3,20,2300,1000,-3.88959,73.527191
3,20,2300,5000,-3.89241,48.134327
3,20,2300,10000,-3.90281,44.852943
3,20,2300,15000,-3.90263,47.826088
3,20,5000,1000,-3.88702,35.227272
3,20,5000,5000,-3.87804,30.783581
3,20,5000,10000,-3.8939,17.1875
3,20,5000,15000,-3.89598,33.152176
3,30,100,1000,-3.89851,53.700905
3,30,100,5000,-3.90777,60.634327
3,30,100,10000,-3.9048,62.132351
3,30,100,15000,-3.89835,61.95652
3,30,1000,1000,-3.89831,24.561403
3,30,1000,5000,-3.90869,22.574627
3,30,1000,10000,-3.90149,22.794117
3,30,1000,15000,-3.89151,26.630434
3,30,2300,1000,-3.89622,70.241692
3,30,2300,5000,-3.90692,45.335819
3,30,2300,10000,-3.90471,43.014706
3,30,2300,15000,-3.8996,43.47826
3,30,5000,1000,-3.89113,33.14394
3,30,5000,5000,-3.89544,23.275862
3,30,5000,10000,-3.90288,15.625
3,30,5000,15000,-3.90237,20.625
3,40,100,1000,-3.9019,37.725224
3,40,100,5000,-3.90947,58.768654
3,40,100,10000,-3.89446,61.397057
3,40,100,15000,-3.87748,63.04348
3,40,1000,1000,-3.8977,21.139706
3,40,1000,5000,-3.90686,17.164179
3,40,1000,10000,-3.87612,19.485294
3,40,1000,15000,-3.83535,23.369566
3,40,2300,1000,-3.89972,67.296066
3,40,2300,5000,-3.9092,43.283581
3,40,2300,10000,-3.89696,42.279411
3,40,2300,15000,-3.88499,41.304348
3,40,5000,1000,-3.896,29.829546
3,40,5000,5000,-3.90454,19.776119
3,40,5000,10000,-3.90585,25.367647
3,40,5000,15000,-3.90398,15.000001
3,50,100,1000,-3.90126,29.374998
3,50,100,5000,-3.90636,58.395523
3,50,100,10000,-3.87448,59.558823
3,50,100,15000,-3.82869,63.586956
3,50,1000,1000,-3.88283,15.50926
3,50,1000,5000,-3.89503,13.246268
3,50,1000,10000,-3.78963,18.014706
3,50,1000,15000,-3.65063,20.652174
3,50,2300,1000,-3.89629,64.501511
3,50,2300,5000,-3.9068,41.604477
3,50,2300,10000,-3.87801,42.279411
3,50,2300,15000,-3.85045,38.586956
3,50,5000,1000,-3.8996,32.236843
3,50,5000,5000,-3.90818,19.029852
3,50,5000,10000,-3.90597,22.426472
3,50,5000,15000,-3.90304,17.5
